Frame_No,Template_No,x,y,mx,my
64,5,1028,502,1017.6898,487.6138
65,1,106,242,109.19017,239.07451
65,2,210,227,213.68661,223.05745
65,3,573,152,577.0592,144.64114
65,4,675,219,679.60657,210.26915
65,5,1028,502,1017.71576,487.85413
66,1,106,242,108.76791,238.26315
66,2,210,227,213.2292,222.25833
66,3,573,152,577.08746,144.46487
66,4,675,219,679.7063,210.06926
66,5,1028,502,1017.7158,487.6974
67,1,106,242,108.35374,237.82855
67,2,210,227,212.89665,221.90096
67,3,573,152,577.0946,144.2698
67,4,675,219,679.671,210.00563
67,5,1028,502,1017.74304,487.5166
68,1,106,242,108.0516,238.23148
68,2,210,227,212.74513,222.31844
68,3,573,152,577.04095,144.33481
68,4,675,219,679.7046,210.09561
68,5,1028,502,1019.0129,487.58163
69,1,106,242,108.374245,238.6744
69,2,210,227,212.89734,222.60172
69,3,573,152,576.88403,144.43747
69,4,675,219,679.5908,210.23851
69,5,1028,502,1019.64465,487.57
70,1,106,242,109.10275,238.5402
70,2,210,227,213.43672,222.40819
70,3,573,152,577.0422,144.21634
70,4,675,219,679.897,209.88628
70,5,1028,502,1020.1433,487.6558
71,1,106,242,108.82254,238.11168
71,2,210,227,213.08038,222.1037
71,3,573,152,576.9395,144.18228
71,4,675,219,679.5208,210.0285
71,5,1028,502,1019.2132,487.70187
72,1,106,242,108.65711,237.75426
72,2,210,227,213.214,221.77817
72,3,573,152,577.2515,144.02136
72,4,675,219,679.7659,209.92073
72,5,1028,502,1019.15076,487.76328
73,1,106,242,107.85599,237.18611
73,2,210,227,212.5418,221.18893
73,3,573,152,576.977,143.4437
73,4,675,219,679.3939,209.17453
73,5,1028,502,1018.91266,487.19583
74,1,106,242,107.73762,237.2285
74,2,210,227,212.47957,221.13504
74,3,573,152,576.9984,143.42358
74,4,675,219,679.49817,208.9624
74,5,1028,502,1019.21246,487.31693
75,1,106,242,107.98827,237.38638
75,2,210,227,212.67676,221.33574
75,3,573,152,577.03015,143.36191
75,4,675,219,679.744,209.20348
75,5,1028,502,1020.04614,487.32275
76,1,106,242,108.42333,237.668
76,2,210,227,212.86581,221.48738
76,3,573,152,577.0831,143.3133
76,4,675,219,679.7885,209.16455
76,5,1028,502,1020.1296,487.52335
77,1,106,242,108.447655,237.70369
77,2,210,227,212.8942,221.49315
77,3,573,152,577.0331,143.25134
77,4,675,219,679.744,209.05914
77,5,1028,502,1019.93304,487.4976
78,1,106,242,108.452965,237.69208
78,2,210,227,212.99571,221.50061
78,3,573,152,576.9147,143.17403
78,4,675,219,679.6918,209.00153
78,5,1028,502,1019.3286,487.61328
79,1,106,242,108.46854,237.70999
79,2,210,227,212.96902,221.53436
79,3,573,152,577.00244,143.21164
79,4,675,219,679.70496,208.94456
79,5,1028,502,1019.25793,487.6217
80,1,106,242,108.483696,237.72726
80,2,210,227,213.02065,221.58084
80,3,573,152,577.051,143.24794
80,4,675,219,679.88153,208.87366
80,5,1028,502,1019.3388,488.25174
81,1,106,242,108.22078,237.51965
